TABLENAME,DATABASENAME,TABLE_TYPE,PROBABLE_NATURAL_KEY_COLUMNS,SPLIT_BY_KEY_CANDIDATES,STORAGE_FORMAT,INGESTION_STRATEGY,WATERMARK_COLUMN,TPT_READER_INSTANCES,TPT_WRITER_INSTANCES,TPT_OR_JDBC,TARGET_SCHEMA_NAME,TARGET_TABLE_NAME,TABLE_GROUP_NAME,CONNECTION_QUOTA,PARTITION_COLUMN,DERIVED_PARTITION,DERIVED_FORMAT,TPT_WITHOUT_IWX_PROCESSING
AR1_ACCOUNT,CUSTOMER_360,TABLE,,"LAST_ACTIVITY_STATUS_DATE,SYS_CREATION_DATE,SYS_UPDATE_DATE,COLL_IND_UPD_DATE,BALANCE_UPD_DATE,CANDIDATE_FILE_EXTRACT_DATE,L9_STS_CHANGE_DATE,L9_CANCEL_DATE,L9_COL_DLNQ_CHECK_DATE,L9_PAST_DUE_UPD_DATE,L9_UB_EFF_DATE,L9_CONVERGE_DATE,L9_LAST_PAYM_DATE,L9_DCK_HIST_UPD_DATE,GGS_COMMIT_TS,L9_PYM_TIMING_EFF_DATE",parquet,FULL_REFRESH,,,,,CUSTOMER_360,AR1_ACCOUNT,,,,False,,False
BULK_OPERATION_RFDS_STATUS,CUSTOMER_360,TABLE,,OPERATION_DATE,parquet,FULL_REFRESH,,,,,CUSTOMER_360,BULK_OPERATION_RFDS_STATUS,,,,False,,False
CDATA_SYNC_STATUS,CUSTOMER_360,TABLE,,"LASTMODTIME,LASTRUNTIME",parquet,FULL_REFRESH,,,,,CUSTOMER_360,CDATA_SYNC_STATUS,,,,False,,False
CUSTOMER,CUSTOMER_360,TABLE,,REGISTRATION_DATE,parquet,FULL_REFRESH,,,,,CUSTOMER_360,CUSTOMER,,,,False,,False
CUSTOMER_100M,CUSTOMER_360,TABLE,,nan,parquet,FULL_REFRESH,,,,,CUSTOMER_360,CUSTOMER_100M,,,,False,,False
CUSTOMER_ORDERS,CUSTOMER_360,TABLE,,"UPDATE_DATE,INSERT_DATE,DELIVERY_DATE",parquet,INCREMENTAL_MERGE,UPDATE_DATE,,,,CUSTOMER_360,CUSTOMER_ORDERS,,,,False,,False
CUST_JUL_ORDERS,CUSTOMER_360,TABLE,,nan,parquet,FULL_REFRESH,,,,,CUSTOMER_360,CUST_JUL_ORDERS,,,,False,,False
DIM_TIME,CUSTOMER_360,TABLE,,nan,parquet,FULL_REFRESH,,,,,CUSTOMER_360,DIM_TIME,,,,False,,False
EMPLOYEES,CUSTOMER_360,TABLE,_ID,nan,parquet,FULL_REFRESH,,,,,CUSTOMER_360,EMPLOYEES,,,,False,,False
INTEGERTEST,CUSTOMER_360,TABLE,,nan,parquet,FULL_REFRESH,,,,,CUSTOMER_360,INTEGERTEST,,,,False,,False
POSITIONS,CUSTOMER_360,TABLE,,TIMESTAMP,parquet,FULL_REFRESH,,,,,CUSTOMER_360,POSITIONS,,,,False,,False
