DB Name,Table Name,LRF Layout,LRF Path,LRF Name,MF Script
NETWORK,TCCN206_ACCESS_METHOD,NA,NA,,INCCN206
NETWORK,TCCN207_LINE_RANGE,NA,NA,,INCCN207
NETWORK,TCTN108_TRUNK_GROUP,"1,10,11,11,2,2,2,2,7,10,10,1,8,10,1,22",/cfs/app/etl_p81/edw_apps_p81/edwntk|/files/srcfiles/monthly/sfload,DWPC.TCTN108.NDMFILE.SFK.*.DAT,FLCTN108
NETWORK,TCTN109_TRUNK_GROUP_FORECAST,"1,10,4,8,10,10,11,11,2,2,2,2,7,9,21",/cfs/app/etl_p81/edw_apps_p81/edwntk|/files/srcfiles/monthly/sfload,DWPC.TCTN109.NDMFILE.SFK.*.DAT,FLCTN109
NETWORK,TCTN206_TIRKS_RSPNSBL_RPTG_OFC,"1,4,1,3,8,1,1,1,1,1,1,1,11,8,8,8,8,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,3,25,3,25,3,25,3,25,3,25,3,25,3,25,3,25",/cfs/app/etl_p81/edw_apps_p81/edwntk|/files/srcfiles/daily/sfload,"DWPC.TZDWRR1.B.TCTN206.NDMFILE.SFK.*.DAT
DWPC.TZDWRR1.P.TCTN206.NDMFILE.SFK.*.DAT
DWPC.TZDWRR1.S.TCTN206.NDMFILE.SFK.*.DAT","MLATN206
MLBTN206
MLPTN206
MLSTN206"
NETWORK,TCTN732_TIRKS_CABLE_MAKEUP,"1,4,1,2,11,11,10,5,3,2,2,6,6,3,3,4,4,3,1,1,4,3,2,4,6,30,7",/cfs/app/etl_p81/edw_apps_p81/edwntk|/files/srcfiles/daily/sfload,"DWPC.TZDWTCX.A.TCTN732.NDMFILE.SFK.*.DAT
DWPC.TZDWTCX.B.TCTN732.NDMFILE.SFK.*.DAT
DWPC.TZDWTCX.P.TCTN732.NDMFILE.SFK.*.DAT
DWPC.TZDWTCX.S.TCTN732.NDMFILE.SFK.*.DAT","MLATN732
MLBTN732
MLPTN732
MLSTN732
"
NETWORK,TCTN846_NETWORK_ACCT_TEST_CASE,"1,15,15,19,19,1",/cfs/app/etl_p81/edw_apps_p81/edwntk|/files/srcfiles/daily/sfload,DWPC.DW400E0C.C.TCTN846.NDMFILE.SFK.*.DAT,MLCTN846
NETWORK,TCTN847_NETWORK_ACCT_TST_RSLT,"01, 15, 15, 19, 19, 15, 128, 2000, 19, 12, 15",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,DWPC.DW400E0C.C.TCTN847.NDMFILE.SFK.*.DAT,MLCTN847
NETWORK,TCTN848_TEST_CASE_PROBLEM,"1,15,15,19,19,15,128,128,10",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,DWPC.DW403E0C.C.TCTN848.NDMFILE.SFK.*.DAT,MLCTN848
USAGE,T86101_ACCESS_USAGE,"1,13,8,11,4,1,2,8,1,4,1,1,1,5,1,1,13,1,11,4,12,8,10,1,1,1,1,1,3,3,12,15,13,8,8,8,8,1,13,1,8,8,11,11,11,3,11,1,11,1,1,1,1,1,1,1,11,8,4,7,1,2,1,1,1,13,13,7,7,2,4,3,5,11,5,1,4,12,12,12,12,12,12,12,12,12,4,1,41,1,6,2,1,1,6,2,3,1,1,8,2,1,1,14",/cfs/app/etl_p26/ecdw_apps_p26/edwusg/files/srcfiles/weekly/sfload,"DWPC.DW70011A.C.T86101.NDMFILE.SFK.*.DAT
",LDM86101
USAGE,T86102_ACCESS_USAGE_STATISTICS,"1,13,8,11,4,1,8,1,2,5,1,1,2,8,10,12,12,12,1,3,3,3,3,1,3,5,1,1,8,8,7,1,2,1,5,1,4,4,1,4,1,1,6,1,1,2,3,1,1,1,2,8,1,1,56",/cfs/app/etl_p26/ecdw_apps_p26/edwusg/files/srcfiles/weekly/sfload,"DWPC.DW70011A.C.T86102.NDMFILE.SFK.*.DAT
",LDM86102
